Month,Total number of employees,Number of employees that left,Run
75,479,1,12
76,478,2,12
77,476,5,12
78,471,4,12
79,467,3,12
80,469,6,12
81,466,3,12
82,486,5,12
83,483,1,12
84,483,4,12
85,493,3,12
86,494,4,12
87,492,3,12
88,491,3,12
89,492,0,12
90,493,0,12
91,493,1,12
92,494,1,12
93,509,2,12
94,507,1,12
95,507,1,12
96,506,1,12
97,505,1,12
98,514,1,12
99,515,2,12
100,515,0,12
101,515,1,12
102,514,1,12
103,515,0,12
104,515,1,12
105,515,1,12
106,514,0,12
107,514,2,12
108,534,0,12
109,534,1,12
110,533,0,12
111,533,0,12
112,533,1,12
113,532,2,12
114,530,0,12
115,530,0,12
116,530,0,12
117,530,0,12
118,530,0,12
119,530,2,12
120,528,1,12
0,462,5,13
1,468,3,13
2,466,1,13
3,465,2,13
4,463,4,13
5,463,1,13
6,464,2,13
7,466,1,13
8,468,1,13
9,467,6,13
10,461,2,13
11,459,3,13
12,467,6,13
13,467,1,13
14,466,2,13
15,464,0,13
16,465,1,13
17,464,3,13
18,464,2,13
19,462,3,13
20,459,3,13
21,456,1,13
22,455,2,13
23,463,0,13
24,463,2,13
25,461,3,13
26,458,3,13
27,457,3,13
28,454,1,13
29,453,1,13
30,452,0,13
31,452,0,13
32,452,2,13
33,450,1,13
34,449,1,13
35,448,3,13
36,445,3,13
37,442,1,13
38,452,0,13
39,452,3,13
40,450,0,13
41,451,1,13
42,450,2,13
43,448,0,13
44,448,2,13
45,446,2,13
46,444,3,13
47,442,2,13
48,441,5,13
49,437,2,13
50,435,1,13
51,434,1,13
52,433,3,13
53,431,2,13
54,431,3,13
55,431,2,13
56,430,1,13
57,431,2,13
58,429,1,13
59,429,2,13
60,427,5,13
61,422,3,13
62,419,1,13
63,432,3,13
64,429,4,13
65,443,2,13
66,442,4,13
67,438,4,13
68,434,1,13
69,433,5,13
70,428,3,13
71,429,5,13
72,430,6,13
73,427,3,13
74,427,7,13
75,422,3,13
76,421,5,13
77,416,3,13
78,416,1,13
79,426,6,13
80,421,1,13
81,420,3,13
82,417,4,13
83,423,0,13
84,424,1,13
85,427,3,13
86,441,2,13
87,441,1,13
88,444,2,13
89,442,5,13
90,454,3,13
91,451,2,13
92,464,3,13
93,465,3,13
94,462,0,13
95,464,2,13
96,468,1,13
97,468,1,13
98,468,0,13
99,469,0,13
100,474,2,13
101,473,2,13
102,473,3,13
103,480,1,13
104,479,0,13
105,480,1,13
106,481,0,13
107,482,0,13
108,482,1,13
109,481,1,13
110,480,2,13
111,478,2,13
112,476,2,13
113,476,0,13
114,476,3,13
115,473,1,13
116,488,0,13
117,488,5,13
118,483,1,13
119,482,3,13
120,479,2,13
0,463,3,14
1,460,4,14
2,456,6,14
3,468,0,14
4,480,2,14
5,495,5,14
6,490,4,14
7,486,1,14
8,485,5,14
9,482,6,14
10,481,5,14
11,482,2,14
12,482,2,14
13,480,2,14
14,478,0,14
15,478,1,14
16,477,2,14
17,475,3,14
18,472,4,14
19,468,1,14
20,467,4,14
21,463,0,14
22,463,3,14
23,474,3,14
24,471,1,14
25,470,4,14
26,466,2,14
27,464,1,14
28,463,0,14
29,463,1,14
30,462,3,14
31,459,2,14
32,457,1,14
33,456,0,14
34,456,6,14
35,450,4,14
36,446,1,14
37,445,4,14
38,441,8,14
39,433,5,14
40,428,9,14
41,419,8,14
42,412,5,14
43,409,1,14
44,408,1,14
45,407,10,14
46,401,3,14
47,423,6,14
48,425,8,14
49,419,5,14
50,434,3,14
51,432,6,14
52,433,5,14
53,434,1,14
54,437,2,14
55,435,3,14
56,435,5,14
57,430,7,14
58,423,7,14
59,421,5,14
60,416,7,14
61,409,10,14
62,399,13,14
63,406,12,14
64,403,9,14
65,403,7,14
66,418,8,14
67,421,4,14
68,422,4,14
69,418,9,14
70,409,3,14
71,406,7,14
72,399,5,14
73,394,10,14
74,390,1,14
75,392,6,14
76,393,7,14
77,390,5,14
78,395,4,14
79,412,8,14
80,411,5,14
81,412,5,14
82,411,6,14
83,408,4,14
84,426,3,14
85,425,4,14
86,427,6,14
87,421,2,14
88,421,2,14
89,420,4,14
90,419,4,14
91,416,4,14
92,412,3,14
93,409,4,14
94,405,6,14
95,399,4,14
96,395,4,14
97,391,3,14
98,408,5,14
99,427,4,14
100,431,2,14
101,429,4,14
102,434,1,14
103,433,4,14
104,441,3,14
105,438,2,14
106,436,6,14
107,430,6,14
108,424,5,14
109,419,5,14
110,414,5,14
111,409,8,14
112,420,4,14
113,416,6,14
114,410,13,14
115,407,6,14
116,404,9,14
117,403,3,14
118,404,3,14
119,423,7,14
120,425,7,14
0,499,0,15
1,499,0,15
2,501,0,15
3,501,1,15
4,500,2,15
5,498,2,15
6,496,1,15
7,498,0,15
8,498,1,15
9,497,2,15
10,495,4,15
11,491,0,15
12,491,2,15
13,489,1,15
14,488,8,15
15,480,1,15
16,481,4,15
17,477,2,15
18,475,4,15
19,471,1,15
20,470,2,15
21,468,2,15
22,466,3,15
23,463,2,15
24,461,0,15
25,479,1,15
26,478,2,15
27,476,2,15
28,474,3,15
29,471,2,15
30,469,2,15
31,467,6,15
32,461,4,15
33,458,8,15
34,450,3,15
35,447,6,15
36,441,7,15
37,434,6,15
38,456,7,15
39,449,5,15
